url,kind,ext,local_path,size_bytes,status,logo_copy
https://framerusercontent.com/images/LQDvSKCZ53t52MVU4rswrLDbig.jpg?width=2500&height=1406,image,.jpg,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/LQDvSKCZ53t52MVU4rswrLDbig_2500x1406.jpg,788090,ok,
https://framerusercontent.com/images/NbMFQXsW4dOBmDCOPYtY2JBlX5Y.png?width=90&height=90,image,.png,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/NbMFQXsW4dOBmDCOPYtY2JBlX5Y_90x90.png,610,ok,
https://framerusercontent.com/images/PtDTRXVGGlGKYt7N9fbEQnM6f4M.jpg?width=5809&height=3873,image,.jpg,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/PtDTRXVGGlGKYt7N9fbEQnM6f4M_5809x3873.jpg,2092219,ok,
https://framerusercontent.com/images/TeXsnoYjqIQhnMhq9aIpDc7ikk.jpg?width=3364&height=3520,image,.jpg,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/TeXsnoYjqIQhnMhq9aIpDc7ikk_3364x3520.jpg,196639,ok,
https://framerusercontent.com/images/TqInR0EEbtV1QkGKiMLsqr64s.png?width=1084&height=1080,image,.png,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/TqInR0EEbtV1QkGKiMLsqr64s_1084x1080.png,24831,ok,
https://framerusercontent.com/images/UKUL5Bw76yS9nArD9pkmpQnVnLg.jpg?width=8916&height=4884,image,.jpg,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/UKUL5Bw76yS9nArD9pkmpQnVnLg_8916x4884.jpg,553068,ok,
https://framerusercontent.com/images/WCFNuEOL8bKkS55urpuyv7BWbPk.svg?width=1312&height=600,image,.svg,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/WCFNuEOL8bKkS55urpuyv7BWbPk_1312x600.svg,232180,ok,/Users/minwoo/Documents/New project/output/vrink-media-assets/logos/WCFNuEOL8bKkS55urpuyv7BWbPk_1312x600.svg
https://framerusercontent.com/images/XhECe9ZUI95OQBdKGbWKparys.png?width=1024&height=1536,image,.png,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/XhECe9ZUI95OQBdKGbWKparys_1024x1536.png,390289,ok,
https://framerusercontent.com/images/ZqP8L70LHgc3IT5E9sW9X0FU.jpg?width=7680&height=4320,image,.jpg,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/ZqP8L70LHgc3IT5E9sW9X0FU_7680x4320.jpg,784720,ok,
https://framerusercontent.com/images/aHAz6mzUToH8FZEgJwV52BfW51Q.png?width=816&height=1024,image,.png,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/aHAz6mzUToH8FZEgJwV52BfW51Q_816x1024.png,76810,ok,
https://framerusercontent.com/images/aaAMyCaipadaQWV3Ybw3J7W02U.png?width=1853&height=2084,image,.png,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/aaAMyCaipadaQWV3Ybw3J7W02U_1853x2084.png,355058,ok,
https://framerusercontent.com/images/eouMvKNadE1M8QnmtnaApbD5g8.png?width=1280&height=2200,image,.png,/Users/minwoo/Documents/New project/output/vrink-media-assets/images/eouMvKNadE1M8QnmtnaApbD5g8_1280x2200.png,1055010,ok,
